Ticker,Date,Actual,Estimate,Surprise,Startdate,Enddate
MA,2018-02-01T16:00:00,1.14,1.12,1.8,2017-11-03T16:00:00,2018-03-16T16:00:00
MAA,2018-01-31T16:00:00,1.5,1.477,1.6,2017-11-02T16:00:00,2018-03-15T16:00:00
MAC,2018-02-05T16:00:00,1.03,1.138,-9.5,2017-11-07T16:00:00,2018-03-20T16:00:00
MAR,2018-02-14T16:00:00,1.12,1.003,11.7,2017-11-16T16:00:00,2018-03-29T16:00:00
MAS,2018-02-08T16:00:00,0.44,0.435,1.1,2017-11-10T16:00:00,2018-03-23T16:00:00
MAT,2018-02-01T16:00:00,-0.72,0.162,-544.4,2017-11-03T16:00:00,2018-03-16T16:00:00
MCD,2018-01-30T16:00:00,1.71,1.589,7.6,2017-11-01T16:00:00,2018-03-14T16:00:00
MCHP,2017-05-09T16:00:00,1.16,1.065,8.9,2017-02-10T16:00:00,2017-06-21T16:00:00
MCK,2017-05-18T16:00:00,3.42,3.002,13.9,2017-02-22T16:00:00,2017-06-30T16:00:00
MCO,2018-02-09T16:00:00,1.51,1.48,2,2017-11-13T16:00:00,2018-03-26T16:00:00
MDLZ,2018-01-31T16:00:00,0.57,0.557,2.3,2017-11-02T16:00:00,2018-03-15T16:00:00
MDT,2017-05-25T16:00:00,1.33,1.313,1.3,2017-03-01T16:00:00,2017-07-10T16:00:00
MET,2018-02-13T16:00:00,0.64,0.846,-24.3,2017-11-15T16:00:00,2018-03-28T16:00:00
MGM,2018-02-20T16:00:00,0.11,0.087,24.5,2017-11-21T16:00:00,2018-04-04T16:00:00
MHK,2018-02-08T16:00:00,3.42,3.321,3,2017-11-10T16:00:00,2018-03-23T16:00:00
MKC,2018-01-25T16:00:00,1.54,1.515,1.7,2017-10-27T16:00:00,2018-03-09T16:00:00
MLM,2018-02-13T16:00:00,1.93,1.468,31.2,2017-11-15T16:00:00,2018-03-28T16:00:00
MMC,2018-02-01T16:00:00,1.05,0.944,11.2,2017-11-03T16:00:00,2018-03-16T16:00:00
MMM,2018-01-25T16:00:00,2.1,2.023,3.8,2017-10-27T16:00:00,2018-03-09T16:00:00
MNST,2018-02-28T16:00:00,0.23,0.373,-37.6,2017-11-30T16:00:00,2018-04-12T16:00:00
MO,2018-02-01T16:00:00,0.91,0.802,13.5,2017-11-03T16:00:00,2018-03-16T16:00:00
MON,2017-10-04T16:00:00,0.2,-0.419,147.7,2017-07-11T16:00:00,2017-11-15T16:00:00
MOS,2018-02-19T16:00:00,0.34,0.279,21.9,2017-11-20T16:00:00,2018-04-03T16:00:00
MPC,2018-02-01T16:00:00,1.04,1.002,3.8,2017-11-03T16:00:00,2018-03-16T16:00:00
MRK,2018-02-02T16:00:00,0.98,0.935,4.8,2017-11-06T16:00:00,2018-03-19T16:00:00
MRO,2018-02-14T16:00:00,0.07,0.026,169.2,2017-11-16T16:00:00,2018-03-29T16:00:00
MS,2018-01-18T16:00:00,0.84,0.768,9.4,2017-10-20T16:00:00,2018-03-02T16:00:00
MSCI,2018-02-01T16:00:00,1.15,0.998,15.2,2017-11-03T16:00:00,2018-03-16T16:00:00
MSFT,2017-07-20T16:00:00,0.75,0.708,5.9,2017-04-25T16:00:00,2017-08-31T16:00:00
MSI,2018-02-01T16:00:00,2.1,2.036,3.1,2017-11-03T16:00:00,2018-03-16T16:00:00
MTB,2018-01-18T16:00:00,2.66,2.404,10.6,2017-10-20T16:00:00,2018-03-02T16:00:00
MTD,2018-02-08T16:00:00,5.97,5.93,0.7,2017-11-10T16:00:00,2018-03-23T16:00:00
MU,2017-09-26T16:00:00,2.02,1.84,9.8,2017-06-30T16:00:00,2017-11-07T16:00:00
MYL,2018-02-28T16:00:00,1.43,1.405,1.8,2017-11-30T16:00:00,2018-04-12T16:00:00
NAVI,2018-01-23T16:00:00,0.43,0.416,3.4,2017-10-25T16:00:00,2018-03-07T16:00:00
NBL,2018-02-20T16:00:00,0.32,0.039,720.5,2017-11-21T16:00:00,2018-04-04T16:00:00
NCLH,2018-02-22T16:00:00,0.68,0.638,6.6,2017-11-24T16:00:00,2018-04-06T16:00:00
NDAQ,2018-01-31T16:00:00,1.05,1.006,4.4,2017-11-02T16:00:00,2018-03-15T16:00:00
NEE,2018-01-26T16:00:00,1.25,1.308,-4.4,2017-10-30T16:00:00,2018-03-12T16:00:00
NEM,2018-02-22T16:00:00,0.4,0.37,8.1,2017-11-24T16:00:00,2018-04-06T16:00:00
NFLX,2018-01-22T16:00:00,0.41,0.414,-1,2017-10-24T16:00:00,2018-03-06T16:00:00
NFX,2018-02-20T16:00:00,0.71,0.623,14,2017-11-21T16:00:00,2018-04-04T16:00:00
NI,2018-02-20T16:00:00,0.33,0.322,2.5,2017-11-21T16:00:00,2018-04-04T16:00:00
NKE,2017-06-29T16:00:00,0.6,0.501,19.9,2017-04-04T16:00:00,2017-08-11T16:00:00
NKTR,2018-03-01T16:00:00,-0.15,-0.356,58.4,2017-12-01T16:00:00,2018-04-13T16:00:00
NLSN,2018-02-08T16:00:00,0.61,0.808,-24.9,2017-11-10T16:00:00,2018-03-23T16:00:00
NOC,2018-01-25T16:00:00,2.72,2.694,1,2017-10-27T16:00:00,2018-03-09T16:00:00
NOV,2018-02-05T16:00:00,-0.04,-0.04,0,2017-11-07T16:00:00,2018-03-20T16:00:00
NRG,2018-03-01T16:00:00,-1.62,0.333,-587.4,2017-12-01T16:00:00,2018-04-13T16:00:00
NSC,2018-01-24T16:00:00,1.69,1.572,7.5,2017-10-26T16:00:00,2018-03-08T16:00:00
NTAP,2017-05-24T16:00:00,0.86,0.822,4.6,2017-02-28T16:00:00,2017-07-07T16:00:00
NTRS,2018-01-24T16:00:00,1.38,1.307,5.3,2017-10-26T16:00:00,2018-03-08T16:00:00
NUE,2018-01-30T16:00:00,0.65,0.554,17.7,2017-11-01T16:00:00,2018-03-14T16:00:00
NVDA,2017-02-09T16:00:00,1.13,0.979,15.4,2016-11-11T16:00:00,2017-03-24T16:00:00
NWL,2018-02-16T16:00:00,0.68,0.676,0.6,2017-11-20T16:00:00,2018-04-03T16:00:00
NWSA,2017-08-10T16:00:00,0.11,0.095,15.8,2017-05-16T16:00:00,2017-09-22T16:00:00
O,2018-02-21T16:00:00,0.61,0.621,-1.8,2017-11-22T16:00:00,2018-04-05T16:00:00
